var,label,median_crash,median_soft,mean_crash,mean_soft,p,n_crash,n_soft,auc
accel,"Growth acceleration (log share, 2nd difference)",0.056723182706618136,0.022844434905918254,0.08688414088471054,0.02752922116306619,1.8587873427176118e-05,145,205,0.6343145500420522
runup,Run-up (peak share / trough share),2.1306905879380125,1.755512275338666,7.707622547948936,2.203544740541971,5.079170744910463e-12,145,205,0.7165685449957948
low_fwci_share_pre,Share of papers with FWCI < 0.25,0.7047795677194603,0.5346578337556576,0.6874170468246243,0.5397741059328378,5.81701459647037e-13,145,205,0.7260218671152228
fwci_log,log mean FWCI,-0.1984005372673906,0.3487438695623131,-0.376478982080952,0.3110519053525575,8.548065565570884e-10,145,205,0.3075525651808242
uncited_share_pre,Share of papers never cited,0.5214024266910178,0.3751098150483396,0.5329256273961054,0.38271864949029205,1.7856920763111092e-12,145,205,0.7211774600504626
newcomer_share_pre,Share of authors new to the topic,0.7561176014182697,0.6995225487420415,0.7374856662901089,0.7016909218809781,0.001610111417165806,145,205,0.5989571068124474
new_scientist_share_pre,Share of authors new to science,0.21133005915714398,0.1878817332987864,0.2151133668058033,0.19022690719956392,0.00014550993562419823,145,205,0.6191757779646763
within_topic_share_pre,Within-topic reference share,0.2489482295936547,0.3225163076838076,0.2545246648618061,0.320914436151803,2.548853431251436e-05,145,205,0.367905803195963
awards_log,log(1 + awards per 100 papers),0.18099792986344632,0.5250237370250935,0.46137487847602876,0.6193468266974674,0.0002512836843549071,145,205,0.38619007569386044
review_share_pre,Share of reviews,0.003810336261887801,0.016167813754255696,0.019280739654242554,0.033042667970049455,2.11045045760568e-06,145,205,0.35121951219512193
top_country_share_pre,Top-country share,0.36489823156489826,0.33287923433282296,0.44439524824723853,0.3540573900687035,0.0032189792763650015,145,205,0.592430613961312
top_source_share_pre,Top-source share,0.19256718187560487,0.1680936704899331,0.20912457231599987,0.19208459038864872,0.03230585170424737,145,205,0.5671656854499579
top3_share_inc,Share of the run-up carried by the three largest venues,0.6122448979591837,0.3387096774193548,0.5588458430733071,0.37064958000987464,4.568964002400032e-12,145,205,0.7170395290159798
team_mean_pre,Mean team size,2.7646710129881775,3.4491649025647213,2.750637458729813,3.3796892294239425,3.665678022136164e-07,145,205,0.3404541631623213
en_share_pre,Share of papers in English,0.9191819049717265,0.9326599761940016,0.8445357991055245,0.912882635582857,0.04333242908417785,145,205,0.4366021867115222
log_npeak,log papers at peak,6.073044534100405,6.198478716492308,6.199852223969856,6.27994788602142,0.1576679029162792,145,205,0.4556602186711522
