sid,display_name
3880285,Science | American Association for the Advancement of Science
11296630,The Journal of the Acoustical Society of America | Acoustical Society of America
1980519,The Astrophysical Journal | IOP Publishing
10623703,International Journal of Molecular Sciences | Multidisciplinary Digital Publishing Institute
10134376,Sustainability | Multidisciplinary Digital Publishing Institute
678965,Value in Health | Elsevier BV
6791298,Physical Review B | American Physical Society
8802318,Annals of the New York Academy of Sciences | Wiley
9692511,Frontiers in Psychology | Frontiers Media
3774022,The Journal of Pediatrics | Elsevier BV
3649266,Journal of Magnetism and Magnetic Materials | Elsevier BV
5555990,Journal of Neuroscience | Society for Neuroscience
10719676,Journal of Crystal Growth | Elsevier BV
5382288,International Journal of Cancer | Wiley
10892749,IEEE Transactions on Instrumentation and Measurement | Institute of Electrical and Electronics Engineers
2574783,Gynecologic Oncology | Elsevier BV
815301,Renewable Energy | Elsevier BV
2672396,Journal of Oral and Maxillofacial Surgery | Elsevier BV
5707928,Materials Chemistry and Physics | Elsevier BV
4789869,Contemporary Sociology A Journal of Reviews | SAGE Publishing
3376858,Journal of Vascular and Interventional Radiology | Elsevier BV
2307745,Journal of Lightwave Technology | Institute of Electrical and Electronics Engineers
10936095,IEEE Transactions on Vehicular Technology | Institute of Electrical and Electronics Engineers
1118231,Clinical Nuclear Medicine | Lippincott Williams & Wilkins
3127539,Slavic Review | Cambridge University Press
2312674,"The Journal of Trauma: Injury, Infection, and Critical Care | Lippincott Williams & Wilkins"
9810779,Physics World | IOP Publishing
10542796,European Journal of Cardio-Thoracic Surgery | Oxford University Press
414566,Pattern Recognition | Elsevier BV
6860681,Human Immunology | Elsevier BV
284573,Neurobiology of Aging | Elsevier BV
10169007,Knowledge-Based Systems | Elsevier BV
985303,Technometrics | Taylor & Francis
1605907,The Journal of Maternal-Fetal & Neonatal Medicine | Informa
8962223,Journal of Aircraft | American Institute of Aeronautics and Astronautics
255146,Synthese | Springer Science+Business Media
4954800,Clinical Genetics | Wiley
